key,zh-TW,en,es,de,th,fr
acc2card,飾品卡片,Accessory Card,Carta de accesorio,Accessoire-Karte,การ์ดเครื่องประดับ,Carte d'accessoire
shadowenchant,影子附魔,Shadow Enchant,Encantamiento sombrío,Schattenverzauberung,เอนชานต์ชาโดว์,Enchantement de l'ombre
costumeenchant,服飾附魔,Costume Enchant,Encantamiento de traje,Kostümverzauberung,เอนชานต์คอสตูม,Enchantement de costume
cardset2,套卡,Card Set,Conjunto de cartas,Kartenset,ชุดการ์ด,Ensemble de cartes
other2,自訂,Custom,Personalizado,Benutzerdefiniert,กำหนดเอง,Personnalisé
pet,寵物,Pet,Mascota,Begleiter,สัตว์เลี้ยง,Familier
runetablet,石碑,Rune Tablet,Tableta rúnica,Runentafel,แผ่นรูน,Tablette runique
AllStatus,全能力,All Stats,Todos los atributos,Alle Werte,ค่าสถานะทั้งหมด,Toutes les statistiques
AllStatus2,所有特性屬性,All Trait Stats,Todos los atributos de rasgo,Alle Eigenschaftswerte,ค่าคุณลักษณะทั้งหมด,Toutes les statistiques de trait
RaceAtkPercent,種族 %,Race ATK %,Raza ATK %,Rasse ATK %,เผ่า ATK %,ATK Race %
SizeAtkPercent,體型 %,Size ATK %,Tamaño ATK %,Größe ATK %,ขนาด ATK %,ATK Taille %
LevelAtkPercent,階級 %,Level ATK %,Nivel ATK %,Stufe ATK %,ระดับ ATK %,ATK Niveau %
ElementalAtkPercent,對屬性敵人 %,Element Target %,Objetivo elemental %,Elementziel %,เป้าหมายธาตุ %,Cible élémentaire %
WeaponRangedDamagePercent,武器遠傷 %,Weapon Ranged DMG %,Weapon DMG a distancia %,Weapon Fernkampf-DMG %,Weapon DMG ระยะไกล %,Weapon DMG à distance %
MonsterAtkPercent,特定魔物 %,Specific Monster %,Monstruo específico %,Bestimmtes Monster %,มอนสเตอร์เฉพาะ %,Monstre spécifique %
HitAtkDamagePercent,命中傷 %,On-Hit DMG %,On-Hit DMG %,On-Hit DMG %,On-Hit DMG %,On-Hit DMG %
CriDamagePercent,暴傷 %,Critical DMG %,DMG crítico %,Krit-DMG %,DMG คริติคอล %,DMG critique %
MeleeDamagePercent,近傷 %,Melee DMG %,DMG cuerpo a cuerpo %,Nahkampf-DMG %,DMG ระยะประชิด %,DMG corps à corps %
RangedDamagePercent,遠傷 %,Ranged DMG %,DMG a distancia %,Fernkampf-DMG %,DMG ระยะไกล %,DMG à distance %
MeleeDamageDealtIncreasedPercent,近傷耐性減少 %,Melee Resistance Reduction %,Melee Reducción de resistencia %,Melee Resistenzreduktion %,Melee ลดความต้านทาน %,Melee Réduction de résistance %
RangedDamageDealtIncreasedPercent,遠傷耐性減少 %,Ranged Resistance Reduction %,Ranged Reducción de resistencia %,Ranged Resistenzreduktion %,Ranged ลดความต้านทาน %,Ranged Réduction de résistance %
BypassDEFPercent,無視物理防禦 %,Ignore DEF %,Ignorar DEF %,Ignoriere DEF %,มองข้าม DEF %,Ignorer DEF %
BypassRESPercent,無視RES %,Ignore RES %,Ignorar RES %,Ignoriere RES %,มองข้าม RES %,Ignorer RES %
RaceMatkPercent,種族 %,Race MATK %,Raza MATK %,Rasse MATK %,เผ่า MATK %,MATK Race %
SizeMatkPercent,體型 %,Size MATK %,Tamaño MATK %,Größe MATK %,ขนาด MATK %,MATK Taille %
LevelMatkPercent,階級 %,Level MATK %,Nivel MATK %,Stufe MATK %,ระดับ MATK %,MATK Niveau %
ElementalMatkPercent,對屬性敵人 %,Element Target %,Objetivo elemental %,Elementziel %,เป้าหมายธาตุ %,Cible élémentaire %
ElementalMagicPercent,屬性魔法 %,Elemental Magic %,Magia elemental %,Elementmagie %,เวทธาตุ %,Magie élémentaire %
MonsterMatkPercent,特定魔物 %,Specific Monster %,Monstruo específico %,Bestimmtes Monster %,มอนสเตอร์เฉพาะ %,Monstre spécifique %
BypassMDEFPercent,無視魔法防禦 %,Ignore MDEF %,Ignorar MDEF %,Ignoriere MDEF %,มองข้าม MDEF %,Ignorer MDEF %
BypassMRESPercent,無視MRES %,Ignore MRES %,Ignorar MRES %,Ignoriere MRES %,มองข้าม MRES %,Ignorer MRES %
SkillDamagePercent,技能增傷 %,Skill DMG %,DMG de habilidad %,Skill-DMG %,DMG สกิล %,DMG de compétence %
CDTime,技能獨延,Skill Cooldown,Cooldown de habilidad,Skill-Cooldown,คูลดาวน์สกิล,Temps de recharge de compétence
GCDPercent,技能後(共)延%,Skill GCD %,GCD de habilidad %,Skill-GCD %,GCD สกิล %,GCD de compétence %
ElementDamageDealtIncreasedPercent,屬性耐性減少 %,Element Resistance Reduction %,Element Reducción de resistencia %,Element Resistenzreduktion %,Element ลดความต้านทาน %,Element Réduction de résistance %
VariableCastPercent,變詠 %,Variable Cast %,Lanzamiento variable %,Variable Zauberzeit %,ร่ายแปรผัน %,Incantation variable %
VariableCastSecond,變詠,Variable Cast Time,Lanzamiento variable Time,Variable Zauberzeit Time,ร่ายแปรผัน Time,Temps d'incantation variable
SPSkillVariableCastPercent,指定技能變詠 %,Variable Cast % (Specific Skill),Lanzamiento variable % (Specific Habilidad),Variable Zauberzeit % (Specific Skill),ร่ายแปรผัน % (Specific สกิล),Incantation variable % (compétence spécifique)
FixedCast,固詠,Fixed Cast Time,Lanzamiento fijo Time,Feste Zauberzeit Time,ร่ายคงที่ Time,Temps d'incantation fixe
FixedCastPercent,固詠 %,Fixed Cast %,Lanzamiento fijo %,Feste Zauberzeit %,ร่ายคงที่ %,Incantation fixe %
AspdPercent,攻擊後延%,ASPD Delay %,ASPD Delay %,ASPD Delay %,ASPD Delay %,ASPD Delay %
Cri,暴擊率 %,Critical Rate %,Probabilidad crítica %,Krit-Rate %,อัตราคริติคอล %,Taux critique %
PerfectFlee,完全迴避,Perfect Flee,Perfect Flee,Perfect Flee,Perfect Flee,Perfect Flee
HPRegenPercent,HP恢復 %,HP Regen %,HP Regeneración %,HP Regeneration %,HP ฟื้นฟู %,HP Régénération %
SPRegenPercent,SP恢復 %,SP Regen %,SP Regeneración %,SP Regeneration %,SP ฟื้นฟู %,SP Régénération %
WeaponPerfection,無視體型攻擊,Ignore Size Penalty,Ignorar Tamaño Penalización,Ignoriere Größe Malus,มองข้าม ขนาด โทษ,Ignorer la pénalité de taille
WeaponOccult,浸透勁效果,Weapon Perfection Effect,Weapon Perfection Effect,Weapon Perfection Effect,Weapon Perfection Effect,Weapon Perfection Effect
AspdPotionPercent,攻速藥水 %,ASPD Potion %,ASPD Poción %,ASPD Trank %,ASPD ยา %,Potion ASPD %
AspdRuneFlat,盧恩石5,Rune Stone Lv.5,Rune Stone Lv.5,Rune Stone Lv.5,Rune Stone Lv.5,Rune Stone Lv.5
Empty,空手,Bare Hands,Sin arma,Unbewaffnet,มือเปล่า,Mains nues
Daggers,短劍,Daggers,Dagas,Dolche,มีดสั้น,Dagues
OneHandedSwords,單手劍,One-Handed Sword,Espada de una mano,Einhandschwert,ดาบมือเดียว,Épée à une main
TwoHandedSword,雙手劍,Two-Handed Sword,Espada de dos manos,Zweihandschwert,ดาบสองมือ,Épée à deux mains
Katars,拳刃,Katars,Katars,Katars,กาตาร์,Katars
Spears,單手矛,One-Handed Spear,Lanza de una mano,Einhand-Speer,หอกมือเดียว,Lance à une main
SpearsTwoHand,雙手矛,Two-Handed Spear,Lanza de dos manos,Zweihand-Speer,หอกสองมือ,Lance à deux mains
Axes,單手斧,One-Handed Axe,Hacha de una mano,Einhand-Axt,ขวานมือเดียว,Hache à une main
AxesTwoHand,雙手斧,Two-Handed Axe,Hacha de dos manos,Zweihand-Axt,ขวานสองมือ,Hache à deux mains
Maces,鈍器,Mace,Maza,Streitkolben,กระบอง,Masse
Knuckles,拳套,Knuckles,Puños,Fäuste,สนับมือ,Poings américains
Rods,單手杖,One-Handed Staff,Bastón de una mano,Einhand-Stab,คทามือเดียว,Bâton à une main
RodsTwoHand,雙手杖,Two-Handed Staff,Bastón de dos manos,Zweihand-Stab,คทาสองมือ,Bâton à deux mains
Books,書本,Book,Libro,Buch,หนังสือ,Livre
Bows,弓,Bow,Arco,Bogen,ธนู,Arc
Instruments,樂器,Instrument,Instrumento,Instrument,เครื่องดนตรี,Instrument
Whips,鞭子,Whip,Látigo,Peitsche,แส้,Fouet
Pistol,手槍,Pistol,Pistola,Pistole,ปืนพก,Pistolet
Rifle,來福,Rifle,Rifle,Gewehr,ไรเฟิล,Fusil
Gatling,格林,Gatling Gun,Ametralladora Gatling,Gatling,ปืนแกตลิง,Mitrailleuse Gatling
Shotgun,霰彈,Shotgun,Escopeta,Schrotflinte,ปืนลูกซอง,Fusil à pompe
Grenade,榴彈,Grenade Launcher,Lanzagranadas,Granatwerfer,เครื่องยิงลูกระเบิด,Lance-grenades
Shuriken,風魔飛鏢,Shuriken,Shuriken,Shuriken,ชูริเคน,Shuriken
ui.charstats.title,角色素質,Stats,Atributos,Werte,ค่าสถานะ,Statistiques
ui.charstats.class,職業,Class,Clase,Klasse,อาชีพ,Classe
ui.common.pleaseselect,請選擇,Please Select,Seleccionar,Bitte auswählen,กรุณาเลือก,Veuillez sélectionner
ui.charstats.applyjobbonus,代入JOB加成,Apply Job Bonus,Aplicar bonificación de Job,Job-Bonus anwenden,ใช้โบนัส Job,Appliquer le bonus de Job
ui.charstats.selectbonussource,選擇加成來源,Select Bonus Source,Seleccionar fuente de bonificación,Bonusquelle auswählen,เลือกแหล่งโบนัส,Sélectionner la source du bonus
jobtier_2nd,二轉50,2nd Job (Lv.50),2.º Job (Nv.50),2. Job (Lv.50),อาชีพ 2 (Lv.50),2e Job (Nv.50)
jobtier_2nd_extend,進階二轉70,Extended 2nd Job (Lv.70),2.º Job avanzado (Nv.70),Erweiterter 2. Job (Lv.70),อาชีพ 2 ขั้นสูง (Lv.70),2e Job avancé (Nv.70)
jobtier_3rd,三轉50,3rd Job (Lv.50),3.er Job (Nv.50),3. Job (Lv.50),อาชีพ 3 (Lv.50),3e Job (Nv.50)
jobtier_4th,四轉60,4th Job (Lv.60),4.º Job (Nv.60),4. Job (Lv.60),อาชีพ 4 (Lv.60),4e Job (Nv.60)
ui.charstats.aspdtooltip,目前的攻速公式與懲罰職等，點按鈕開啟攻速懲罰表可以更改設定。,Current ASPD formula and job-tier penalty. Click the button to open the ASPD penalty table and change the settings.,Fórmula ASPD y penalización por nivel de Job actuales. Pulsa el botón para abrir la tabla de penalización de ASPD y cambiar los ajustes.,"Aktuelle ASPD-Formel und Job-Stufen-Malus. Klicke auf die Schaltfläche, um die ASPD-Malustabelle zu öffnen und die Einstellungen zu ändern.",สูตร ASPD และระดับโทษ Job ปัจจุบัน กดปุ่มเพื่อเปิดตารางโทษ ASPD และเปลี่ยนการตั้งค่า,Formule ASPD et pénalité de niveau de Job actuelles. Cliquez sur le bouton pour ouvrir la table de pénalité ASPD et modifier les réglages.
ui.charstats.aspdsetting,攻速設定,ASPD Settings,Ajustes de ASPD,ASPD-Einstellungen,ตั้งค่า ASPD,Réglages ASPD
ui.common.paradise,樂園,Zero,Zero,Zero,Zero,Zero
ui.common.official,四轉服,Official,Oficial,Offiziell,Official,Officiel
ui.common.formula,公式,Formula,Fórmula,Formel,สูตร,Formule
ui.common.jobtier,職等,Job Tier,Nivel de Job,Job-Stufe,ระดับ Job,Niveau de Job
ui.common.tier34,三/四轉,3rd/4th,3.º/4.º,3./4.,3/4,3e/4e
ui.common.tier2,二轉,2nd,2.º,2.,2,2e
ui.charstats.transcendent,轉生,Transcendent,Transcendente,Transzendent,จุติ,Transcendant
ui.charstats.transcendenttooltip,轉生100點，非轉生52點,"100 points if Transcendent, 52 if not",100 puntos si es Transcendente; 52 si no lo es,"100 Punkte bei Transzendent, sonst 52",100 แต้มเมื่อจุติ และ 52 แต้มเมื่อไม่จุติ,"100 points si Transcendant, 52 sinon"
ui.charstats.availablepoints,可用素質點,Available Stat Points,Puntos de atributo disponibles,Verfügbare Statuspunkte,แต้มสถานะที่ใช้ได้,Points de statistiques disponibles
ui.charstats.usedpointstooltip,"計算素質欄中第一個 "" + 號"" 前的數值 例:120+10+5 取120","Uses the value before the first "" + "" in the stat field, e.g. 120+10+5 counts as 120","Usa el valor anterior al primer "" + "" del campo de atributo; p. ej., 120+10+5 cuenta como 120","Verwendet den Wert vor dem ersten "" + "" im Wertefeld; z. B. zählt 120+10+5 als 120","ใช้ค่าก่อนเครื่องหมาย "" + "" ตัวแรกในช่องสถานะ เช่น 120+10+5 จะนับเป็น 120","Utilise la valeur avant le premier « + » dans le champ de statistique, par ex. 120+10+5 compte comme 120"
ui.charstats.usedpoints,已消耗點數,Points Used,Puntos usados,Verbrauchte Punkte,แต้มที่ใช้แล้ว,Points utilisés
ui.common.remaining,餘,Remaining,Restante,Verbleibend,คงเหลือ,Restant
ui.common.point,點,pts,pts,Pkt.,แต้ม,pts
ui.common.insufficient,不足,Insufficient,Insuficiente,Nicht ausreichend,ไม่เพียงพอ,Insuffisant
ui.charstats.traitpoints,特質點,Trait Points,Puntos de rasgo,Eigenschaftspunkte,แต้มคุณลักษณะ,Points de trait
ui.charstats.jobbonuspoint,Job加成點,Job Bonus Points,Puntos de bonificación de Job,Job-Bonuspunkte,แต้มโบนัส Job,Points de bonus de Job
ui.equip.type,類型,Type,Tipo,Typ,ประเภท,Type
ui.equip.weapontype,武器類型,Weapon Type,Tipo de arma,Waffentyp,ประเภทอาวุธ,Type d'arme
ui.equip.subweapontype,副手武器類型,off Hand Weapon,Arma secundaria,Nebenhandwaffe,อาวุธมือรอง,Arme en main secondaire
ui.equip.weaponlevel,武器等級,WeaponLevel,Nivel de arma,Waffenstufe,ระดับอาวุธ,Niveau d'arme
ui.equip.grade,Grade等級,Grade,Grado,Grad,เกรด,Grade
subhand_0,空手,Bare Hands,Sin arma,Unbewaffnet,มือเปล่า,Mains nues
subhand_1,盾牌,Shield,Escudo,Schild,โล่,Bouclier
subhand_2,武器,Weapon,Arma,Waffe,อาวุธ,Arme
weaponlevel_1,一級,1,1,1,1,1
weaponlevel_2,二級,2,2,2,2,2
weaponlevel_3,三級,3,3,3,3,3
weaponlevel_4,四級,4,4,4,4,4
weaponlevel_5,五級,5,5,5,5,5
weapongrade_0,無,N,N,N,N,N
weapongrade_1,D,D,D,D,D,D
weapongrade_2,C,C,C,C,C,C
weapongrade_3,B,B,B,B,B,B
weapongrade_4,A,A,A,A,A,A
class_RK,騎士/盧恩騎士/盧恩龍爵,Knight,Caballero,Ritter,อัศวิน,Chevalier
class_GX,刺客/十字斬首者/十字影武,Assassion,Asesino,Assassine,แอสซาซิน,Assassin
class_AB,祭司/大主教/樞機主教,Priest,Sacerdote,Priester,พรีสต์,Prêtre
class_RA,獵人/遊俠/風鷹狩獵者,Hunter,Cazador,Jäger,ฮันเตอร์,Chasseur
class_WL,巫師/咒術士/禁咒魔導士,Wizard,Mago,Magier,วิซาร์ด,Mage
class_ME,鐵匠/機械工匠/機甲神匠,Blacksmith,Herrero,Schmied,แบล็คสมิธ,Forgeron
class_RG,十字軍/皇家禁衛軍/帝國聖衛軍,Crusader,Cruzado,Kreuzritter,ครูเซเดอร์,Croisé
class_SC,流氓/魅影追蹤者/深淵追跡者,Rouge,Pícaro,Schurke,โร้ก,Voleur
class_SU,武僧/修羅/聖裁者,Monk,Monje,Mönch,มองค์,Moine
class_MI,詩人/宮廷樂師/天籟頌者,Bard,Bardo,Barde,บาร์ด,Barde
class_WA,舞孃/浪跡舞者/樂之舞靈,Dancer,Bailarina,Tänzerin,แดนเซอร์,Danseuse
class_SO,賢者/妖術師/元素支配者,Sage,Sabio,Weiser,เซจ,Sage
class_GE,煉金/基因學者/生命締造者,Alchemist,Alquimista,Alchemist,อัลเคมิสต์,Alchimiste
class_KO,影狼/流浪忍者,Kagerou/Shinkiro,Kagerou/Shinkiro,Kagerou/Shinkiro,Kagerou/Shinkiro,Kagerou/Shinkiro
class_OB,朧/疾風忍者,Oboro/Shiranui,Oboro/Shiranui,Oboro/Shiranui,Oboro/Shiranui,Oboro/Shiranui
class_RE,反叛者/夜行使,Rebellion/Night Watch,Rebellion/Night Watch,Rebellion/Night Watch,Rebellion/Night Watch,Rebellion/Night Watch
class_SE,拳皇/天帝,Star Emperor/Sky Emperor,Star Emperor/Sky Emperor,Star Emperor/Sky Emperor,Star Emperor/Sky Emperor,Star Emperor/Sky Emperor
class_SL,獵靈士/契靈士,Soul Reaper/Soul Ascetic,Soul Reaper/Soul Ascetic,Soul Reaper/Soul Ascetic,Soul Reaper/Soul Ascetic,Soul Reaper/Soul Ascetic
class_SUM,喵族召喚師/魂靈師,Summoner/Spirit Handler,Summoner/Spirit Handler,Summoner/Spirit Handler,Summoner/Spirit Handler,Summoner/Spirit Handler
class_SN,超級初心者/終極初學者,Super Novice/Hyper Novice,Super Novice/Hyper Novice,Super Novice/Hyper Novice,Super Novice/Hyper Novice,Super Novice/Hyper Novice
class_DR,Druid/Karnos/Alitea,Druid/Karnos/Alitea,Druid/Karnos/Alitea,Druid/Karnos/Alitea,Druid/Karnos/Alitea,Druid/Karnos/Alitea
ui.equip.refinelevel,精鍊等級,Refine Level,Nivel de refinamiento,Veredelungsstufe,ระดับตีบวก,Niveau de raffinement
ui.equip.weaponatk,武器ATK,Weapon ATK,ATK del arma,Waffen-ATK,ATK อาวุธ,ATK de l'arme
ui.equip.weaponmatk,武器MATK,Weapon MATK,MATK del arma,Waffen-MATK,MATK อาวุธ,MATK de l'arme
ui.equip.shellatk,砲彈ATK,Cannon ATK,ATK del cañón,Kanonen-ATK,ATK กระสุนปืนใหญ่,ATK du canon
ui.equip.bulletatk,子彈ATK,Bullet ATK,ATK de la bala,Kugel-ATK,ATK กระสุน,ATK de la balle
ui.equip.arrowatk,箭矢ATK,Arrow ATK,ATK de la flecha,Pfeil-ATK,ATK ลูกธนู,ATK de la flèche
ui.equip.weaponweight,武器重量,Weapon Weight,Peso del arma,Waffengewicht,น้ำหนักอาวุธ,Poids de l'arme
ui.equip.shieldrefine,盾牌精煉,Shield Refine,Refinamiento del escudo,Schildveredelung,ตีบวกโล่,Raffinement du bouclier
ui.equip.shieldweight,盾牌重量,Shield Weight,Peso del escudo,Schildgewicht,น้ำหนักโล่,Poids du bouclier
ui.equip.cardenchant,卡片/附魔,Slot,Ranura,Slot,ช่อง,Emplacement
ui.common.clear,清空,Clear,Limpiar,Leeren,ล้าง,Effacer
ui.common.edit,編輯,Edit,Editar,Bearbeiten,แก้ไข,Modifier
ui.common.cancel,取消,Cancel,Cancelar,Abbrechen,ยกเลิก,Annuler
ui.common.confirm,確定,Confirm,Confirmar,Bestätigen,ยืนยัน,Confirmer
ui.common.save,儲存,Save,Guardar,Speichern,บันทึก,Enregistrer
ui.equip.setnamefirst,儲存前設定裝備名,Set Equipment Name Before Saving,Define el nombre del equipo antes de guardar,Vor dem Speichern einen Ausrüstungsnamen festlegen,ตั้งชื่ออุปกรณ์ก่อนบันทึก,Définissez le nom de l'équipement avant d'enregistrer
ui.equip.allskilldmg,所有技能增傷 %,All Skill DMG %,DMG de todas las habilidades %,DMG aller Skills %,DMG ทุกสกิล %,DMG de toutes les compétences %
ui.equip.allskillcd,所有技能獨延,All Skill Cooldown,Cooldown de todas las habilidades,Cooldown aller Skills,คูลดาวน์ทุกสกิล,Temps de recharge de toutes les compétences
ui.equip.specifyskill,指定技能,Specify Skill,Especificar habilidad,Skill festlegen,ระบุสกิล,Spécifier une compétence
ui.equip.specifyelement,指定屬性,Specify Element,Especificar elemento,Element festlegen,ระบุธาตุ,Spécifier un élément
ui.equip.specifyrace,指定種族,Specify Race,Especificar raza,Rasse festlegen,ระบุเผ่า,Spécifier une race
ui.equip.specifysize,指定體型,Specify Size,Especificar tamaño,Größe festlegen,ระบุขนาด,Spécifier une taille
ui.equip.specifylevel,指定階級,Specify Level,Especificar nivel,Stufe festlegen,ระบุระดับ,Spécifier un niveau
ui.equip.specifysizemultiplier,指定體型倍率,Specify Size Multiplier,Especificar multiplicador de tamaño,Größenmultiplikator festlegen,ระบุตัวคูณขนาด,Spécifier le multiplicateur de taille
ui.equip.size,體型,Size,Tamaño,Größe,ขนาด,Taille
ui.equip.physicalsizepercent,物理體型 %,Physical Size %,Tamaño físico %,Physische Größe %,ขนาดกายภาพ %,Taille physique %
ui.equip.magicsizepercent,魔法體型 %,Magic Size %,Tamaño mágico %,Magische Größe %,ขนาดเวท %,Taille magique %
ui.common.action,操作,Action,Acción,Aktion,การทำงาน,Action
ui.common.apply,套用,Apply,Aplicar,Anwenden,ใช้,Appliquer
ui.equip.specifylevelmultiplier,指定階級倍率,Specify Level Multiplier,Especificar multiplicador de nivel,Stufenmultiplikator festlegen,ระบุตัวคูณระดับ,Spécifier le multiplicateur de niveau
ui.equip.level,階級,Tier,Rango,Rang,ระดับ,Rang
ui.equip.physicallevelpercent,物理階級 %,Physical Level %,Nivel físico %,Physische Stufe %,ระดับกายภาพ %,Niveau physique %
ui.equip.magiclevelpercent,魔法階級 %,Magic Level %,Nivel mágico %,Magische Stufe %,ระดับเวท %,Niveau magique %
ui.equip.specifyracemultiplier,指定種族倍率,Specify Race Multiplier,Especificar multiplicador de raza,Rassenmultiplikator festlegen,ระบุตัวคูณเผ่า,Spécifier le multiplicateur de race
ui.equip.race,種族,Race,Raza,Rasse,เผ่า,Race
ui.equip.physicalracepercent,物理種族 %,Physical Race %,Raza física %,Physische Rasse %,เผ่ากายภาพ %,Race physique %
ui.equip.magicracepercent,魔法種族 %,Magic Race %,Raza mágica %,Magische Rasse %,เผ่าเวท %,Race magique %
ui.equip.specifyelementmultiplier,指定屬性倍率,Specify Element Multiplier,Especificar multiplicador elemental,Elementmultiplikator festlegen,ระบุตัวคูณธาตุ,Spécifier le multiplicateur élémentaire
ui.equip.element,屬性,Element,Elemento,Element,ธาตุ,Élément
ui.equip.alltarget,全,All,Todos,Alle,ทั้งหมด,Tous
ui.equip.elementmultiplier,屬性倍率,Element Multiplier,Multiplicador elemental,Elementmultiplikator,ตัวคูณธาตุ,Multiplicateur élémentaire
leveltype_0,一般,Normal,Normal,Normal,ปกติ,Normal
leveltype_1,BOSS,BOSS,BOSS,BOSS,BOSS,BOSS
racetype_0,無形,Formless,Sin forma,Formlos,ไร้รูปร่าง,Informe
racetype_1,不死,Undead,No muerto,Untot,ผีดิบ,Mort-vivant
racetype_2,動物,Brute,Bestia,Tier,สัตว์,Brute
racetype_3,植物,Plant,Planta,Pflanze,พืช,Plante
racetype_4,昆蟲,Insect,Insecto,Insekt,แมลง,Insecte
racetype_5,魚貝,Fish,Pez,Fisch,ปลา,Poisson
racetype_6,惡魔,Demon,Demonio,Dämon,ปีศาจ,Démon
racetype_7,人形,Demi-Human,Semihumano,Halbmensch,กึ่งมนุษย์,Semi-humain
racetype_8,天使,Angel,Ángel,Engel,เทวทูต,Ange
racetype_9,龍族,Dragon,Dragón,Drache,มังกร,Dragon
racetype_10,玩家(人類),Player (Human),Jugador (humano),Spieler (Mensch),ผู้เล่น (มนุษย์),Joueur (Humain)
racetype_11,玩家(貓族),Player (Doram),Jugador (Doram),Spieler (Doram),ผู้เล่น (Doram),Joueur (Doram)
sizetype_0,小型,Small,Pequeño,Klein,เล็ก,Petit
sizetype_1,中型,Medium,Mediano,Mittel,กลาง,Moyen
sizetype_2,大型,Large,Grande,Groß,ใหญ่,Grand
elementtype_0,無,Neutral,Neutral,Neutral,ไร้ธาตุ,Neutre
elementtype_1,火,Fire,Fuego,Feuer,ไฟ,Feu
elementtype_2,水,Water,Agua,Wasser,น้ำ,Eau
elementtype_3,風,Wind,Viento,Wind,ลม,Vent
elementtype_4,地,Earth,Tierra,Erde,ดิน,Terre
elementtype_5,毒,Poison,Veneno,Gift,พิษ,Poison
elementtype_6,聖,Holy,Sagrado,Heilig,ศักดิ์สิทธิ์,Sacré
elementtype_7,暗,Dark,Oscuro,Dunkel,มืด,Ténèbres
elementtype_8,念,Ghost,Fantasma,Geist,วิญญาณ,Spectre
elementtype_9,不死,Undead,No muerto,Untot,ผีดิบ,Mort-vivant
ui.equip.weaponsizetable,武器懲罰表,Weapon Penalty Table,Tabla de penalización de armas,Waffen-Malustabelle,ตารางโทษอาวุธ,Table de pénalité d'arme
ui.equip.refineatkmatk,精鍊Atk / Matk,Refine Atk / Matk,Refinamiento Atk / Matk,Veredelung Atk / Matk,ตีบวก Atk / Matk,Raffinement Atk / Matk
